# Version 1.00
#
power[dBm],re:Trc1_S11[U],im:Trc1_S11[U],Trc2_S12[dB],Trc3_S21[dB],Trc4_S11[dB],Trc5_b2d1/a1d1sam[dB],Trc6_S12[dB],Trc7_S22[dB],
-3.980459208597948E+001,6.356185697818187E-002,-3.904685159044729E-003,-6.048089068137201E+001,-2.272199129091950E+001,-2.391970990684327E+001,-2.322211516160467E+000,-6.048089068137201E+001,-3.610228113630636E+001,
-3.978505129457743E+001,6.237814801067902E-002,-2.285209873080589E-003,-6.632934784281484E+001,-7.133433449059321E+000,-2.409352567935874E+001,-2.284662542341365E+000,-6.632934784281484E+001,-2.593573022816484E+001,
-3.976551050317538E+001,6.109264856178080E-002,7.660897758716256E-003,-6.547188993645010E+001,-6.968310415519514E+000,-2.421246093824175E+001,-2.117305918403343E+000,-6.547188993645010E+001,-2.338884491540931E+001,
-3.974596971177333E+001,6.283916277670529E-002,2.484432757695007E-003,-6.320900829654836E+001,-1.338439448200307E+001,-2.402860893082437E+001,-1.911142852592736E+000,-6.320900829654836E+001,-2.442904078028670E+001,
-3.972642892037128E+001,6.436093756067036E-002,6.407093427050433E-005,-6.464217215436571E+001,-9.431670343694201E+000,-2.382754845728111E+001,-2.081463370738714E+000,-6.464217215436571E+001,-3.205979020395155E+001,
-3.970688812896923E+001,6.531579166979391E-002,1.868789846038848E-003,-5.753063018728113E+001,-1.452020931105297E+001,-2.369608231202731E+001,-2.808127434078156E+000,-5.753063018728113E+001,-2.212008425374204E+001,
-3.968734733756718E+001,6.354902690641422E-002,3.076716767136142E-003,-7.555736087161738E+001,-1.065795738429189E+001,-2.392765396217172E+001,-2.126663562242401E+000,-7.555736087161738E+001,-3.507056366290661E+001,
-3.966780654616512E+001,6.443383329464551E-002,3.213771101814832E-004,-5.763188110656501E+001,-1.156182534876294E+001,-2.381761257808075E+001,-2.115336651306661E+000,-5.763188110656501E+001,-2.272835891036555E+001,
-3.964826575476307E+001,6.447054183086441E-002,3.333560684021997E-003,-5.703356529234292E+001,-1.228743833294175E+001,-2.380117785605545E+001,-2.317416594316580E+000,-5.703356529234292E+001,-3.262107687946077E+001,
-3.962872496336102E+001,6.219706948962477E-002,-1.082613879127355E-003,-6.819145854812304E+001,-1.023309987306396E+001,-2.412328593950366E+001,-1.977607152279847E+000,-6.819145854812304E+001,-2.212944816640147E+001,
-3.960918417195897E+001,6.484519127784495E-002,9.206118258549964E-004,-6.063900384913015E+001,-8.980141637139292E+000,-2.376156922483050E+001,-2.641763898432150E+000,-6.063900384913015E+001,-2.352598946861132E+001,
-3.958964338055692E+001,6.898942174625872E-002,2.178454985554804E-003,-6.182167377306086E+001,-1.342203888318468E+001,-2.322002177630665E+001,-2.613899889337322E+000,-6.182167377306086E+001,-3.074692125487692E+001,
-3.957010258915486E+001,6.594466751408004E-002,3.324331599355655E-003,-5.588337562897294E+001,-9.384067269130652E+000,-2.360538378375911E+001,-2.444562374595698E+000,-5.588337562897294E+001,-2.231826264930324E+001,
-3.955056179775281E+001,6.700680529861258E-002,1.914716818678400E-003,-6.230075786361721E+001,-1.507676139032518E+001,-2.347407706020949E+001,-1.963166506519672E+000,-6.230075786361721E+001,-3.207364049947553E+001,
-3.953102100635076E+001,6.424490187060457E-002,-1.571661952448621E-003,-6.168691001201017E+001,-1.358045198385211E+001,-2.384062826190719E+001,-2.220853570420440E+000,-6.168691001201017E+001,-2.403080012946366E+001,
-3.951148021494871E+001,6.500260713480641E-002,-1.428319292473910E-003,-6.276040640864351E+001,-1.698552546107188E+001,-2.373928811220410E+001,-2.126274039353946E+000,-6.276040640864351E+001,-2.374701661990956E+001,
